procesos,tamano,prueba,tiempo_segundos
procesos,tamano,prueba,tiempo_segundos
procesos,tamano,prueba,tiempo_segundos
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
2,1600,9,11.939208
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
2,1600,9,11.939208
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
2,1600,9,11.939208
2,1600,10,11.825664
2,1600,promedio,11.771677
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
2,1600,9,11.939208
2,1600,10,11.825664
2,1600,promedio,11.771677
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
2,1600,9,11.939208
2,1600,10,11.825664
2,1600,promedio,11.771677
2,3200,1,187.808273
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
2,1600,9,11.939208
2,1600,10,11.825664
2,1600,promedio,11.771677
2,3200,1,187.808273
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
2,400,10,0.138963
2,400,promedio,0.139494
2,800,1,1.227516
2,800,2,1.209443
2,800,3,1.213280
2,800,4,1.262335
2,800,5,1.234968
2,800,6,1.272522
2,800,7,1.311036
2,800,8,1.273828
2,800,9,1.227906
2,800,10,1.332965
2,800,promedio,1.256580
2,1600,1,12.119615
2,1600,2,11.406386
2,1600,3,11.513888
2,1600,4,11.895972
2,1600,5,11.927400
2,1600,6,11.708100
2,1600,7,12.136789
2,1600,8,11.243746
2,1600,9,11.939208
2,1600,10,11.825664
2,1600,promedio,11.771677
2,3200,1,187.808273
2,3200,2,188.352052
procesos,tamano,prueba,tiempo_segundos
2,400,1,0.140510
2,400,2,0.140868
2,400,3,0.137590
2,400,4,0.138247
2,400,5,0.142892
2,400,6,0.138350
2,400,7,0.140934
2,400,8,0.137371
2,400,9,0.139215
